iter	RMSE
0	0.47066364
1	0.4447864876
2	0.4220999295
3	0.4048200446
4	0.3888368217
5	0.3739778904
6	0.3610604983
7	0.3526436704
8	0.3425298337
9	0.3344882006
10	0.3272391725
11	0.3201456903
12	0.3150355765
13	0.3080007904
14	0.3014572954
15	0.2970348972
16	0.2925672395
17	0.2897814174
18	0.2864822218
19	0.2816352754
20	0.2782500558
21	0.2753714689
22	0.2729413352
23	0.2713271887
24	0.269386041
25	0.2675111516
26	0.2642686719
27	0.2631351772
28	0.2608529301
29	0.2587851985
30	0.2567359495
31	0.2549331907
32	0.2539060421
33	0.2525828321
34	0.251569267
35	0.2508972131
36	0.2500007798
37	0.2486692111
38	0.2468316259
39	0.2459283934
40	0.2443609882
41	0.2439133763
42	0.2423527316
43	0.241689221
44	0.2410102817
45	0.2403127719
46	0.2396480926
47	0.2382675581
48	0.2376107478
49	0.2372850597
50	0.2369061093
51	0.2364388692
52	0.2357345138
53	0.2354749939
54	0.2351602774
55	0.2344082952
56	0.2334806007
57	0.2331201271
58	0.232541008
59	0.2318159538
60	0.2313513954
61	0.2312098861
62	0.23032016
63	0.2300691987
64	0.2295731932
65	0.2290537972
66	0.2285713338
67	0.2279603685
68	0.2274232994
69	0.2271167042
70	0.2262047489
71	0.2258664762
72	0.2252200507
73	0.2245426928
74	0.2239114482
75	0.2232150449
76	0.2226701349
77	0.2221056891
78	0.2217511828
79	0.221412371
80	0.2209445771
81	0.2205999048
82	0.220313959
83	0.2199289741
84	0.2195261942
85	0.2192524872
86	0.2187290904
87	0.2184506573
88	0.2181770953
89	0.2177774426
90	0.2172396043
91	0.2168315585
92	0.2163243295
93	0.2160683369
94	0.2157142074
95	0.2153087363
96	0.2150038666
97	0.2145833634
98	0.2143487563
99	0.2138953829
