iter	Passed	Remaining
0	73	7285
1	74	3629
2	74	2408
3	74	1795
4	75	1429
5	75	1185
6	75	1009
7	76	877
8	76	775
9	77	694
10	77	628
11	78	572
12	78	525
13	78	484
14	79	449
15	79	418
16	80	390
17	80	366
18	80	344
19	81	324
20	81	306
21	81	290
22	82	275
23	82	262
24	83	249
25	83	237
26	83	226
27	84	216
28	84	207
29	85	198
30	85	190
31	85	182
32	86	174
33	86	168
34	86	161
35	87	155
36	87	149
37	88	143
38	88	138
39	89	133
40	89	128
41	89	123
42	90	119
43	90	115
44	90	110
45	91	107
46	91	103
47	91	99
48	92	96
49	92	92
50	93	89
51	93	86
52	94	83
53	94	80
54	94	77
55	95	74
56	95	72
57	95	69
58	96	66
59	96	64
60	97	62
61	97	59
62	97	57
63	98	55
64	98	53
65	99	51
66	99	49
67	99	47
68	100	45
69	100	43
70	101	41
71	101	39
72	101	37
73	102	35
74	102	34
75	102	32
76	103	30
77	103	29
78	103	27
79	104	26
80	104	24
81	105	23
82	105	21
83	106	20
84	106	18
85	106	17
86	107	16
87	107	14
88	107	13
89	108	12
90	108	10
91	108	9
92	109	8
93	109	7
94	110	5
95	110	4
96	111	3
97	111	2
98	111	1
99	112	0
